geografia,anio,poblacion_personas,poblacion_65_mas_porcentaje,fuente
LCN,2010,587752505,6.78078410722831,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2011,594086829,6.93338073003562,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2012,600420316,7.09949953511085,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2013,606683307,7.27973730984209,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2014,612849401,7.47538395289691,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2015,618868462,7.68399621297092,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2016,624737786,7.89701427607178,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2017,630414986,8.11983439857911,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2018,635778081,8.35689709815919,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2019,640962372,8.60758091152324,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2020,645498187,8.83529209187651,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2021,649236092,9.02682987853117,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2022,653108131,9.24784655279121,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2023,657616519,9.52870988496144,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
LCN,2024,662185614,9.83798623638707,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2010,113623895,6.09750132223508,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2011,115243504,6.18329821949573,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2012,116818208,6.28324051040382,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2013,118343573,6.39365899489954,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2014,119784261,6.51446394948331,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2015,121072306,6.65084837815842,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2016,122251351,6.8015894842814,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2017,123400057,6.96592017390268,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2018,124573711,7.14422403295026,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2019,125762982,7.33464157467799,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2020,126799054,7.48607987451515,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2021,127648148,7.58575873574664,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2022,128613117,7.74526983999124,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2023,129739759,7.98664578990007,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
MEX,2024,130861007,8.24857017950351,World Bank WDI; SP.POP.TOTL; SP.POP.65UP.TO.ZS
